   3.1151700e+01   3.1164900e+01   3.1171100e+01   3.1151600e+01   3.1149800e+01
   3.1164900e+01   3.1171100e+01   3.1151600e+01   3.1149800e+01   3.1157900e+01
   3.1171100e+01   3.1151600e+01   3.1149800e+01   3.1157900e+01   3.1178300e+01
   3.1151600e+01   3.1149800e+01   3.1157900e+01   3.1178300e+01   3.1197700e+01
   3.1149800e+01   3.1157900e+01   3.1178300e+01   3.1197700e+01   3.1197700e+01
   3.1157900e+01   3.1178300e+01   3.1197700e+01   3.1197700e+01   3.1196300e+01
   3.1178300e+01   3.1197700e+01   3.1197700e+01   3.1196300e+01   3.1195100e+01
   3.1197700e+01   3.1197700e+01   3.1196300e+01   3.1195100e+01   3.1196700e+01
   3.1197700e+01   3.1196300e+01   3.1195100e+01   3.1196700e+01   3.1195100e+01
   3.1196300e+01   3.1195100e+01   3.1196700e+01   3.1195100e+01   3.1211900e+01
   3.1195100e+01   3.1196700e+01   3.1195100e+01   3.1211900e+01   3.1247100e+01
   3.1196700e+01   3.1195100e+01   3.1211900e+01   3.1247100e+01   3.1245300e+01
   3.1195100e+01   3.1211900e+01   3.1247100e+01   3.1245300e+01   3.1246800e+01
   3.1211900e+01   3.1247100e+01   3.1245300e+01   3.1246800e+01   3.1255400e+01
   3.1247100e+01   3.1245300e+01   3.1246800e+01   3.1255400e+01   3.1255300e+01
   3.1245300e+01   3.1246800e+01   3.1255400e+01   3.1255300e+01   3.1255300e+01
   3.1246800e+01   3.1255400e+01   3.1255300e+01   3.1255300e+01   3.1255100e+01
   3.1255400e+01   3.1255300e+01   3.1255300e+01   3.1255100e+01   3.1255000e+01
   3.1255300e+01   3.1255300e+01   3.1255100e+01   3.1255000e+01   3.1275000e+01
   3.1255300e+01   3.1255100e+01   3.1255000e+01   3.1275000e+01   3.1285000e+01
   3.1255100e+01   3.1255000e+01   3.1275000e+01   3.1285000e+01   3.1285000e+01
   3.1255000e+01   3.1275000e+01   3.1285000e+01   3.1285000e+01   3.1304300e+01
   3.1275000e+01   3.1285000e+01   3.1285000e+01   3.1304300e+01   3.1307100e+01
   3.1285000e+01   3.1285000e+01   3.1304300e+01   3.1307100e+01   3.1307100e+01
   3.1285000e+01   3.1304300e+01   3.1307100e+01   3.1307100e+01   3.1305800e+01
   3.1304300e+01   3.1307100e+01   3.1307100e+01   3.1305800e+01   3.1313600e+01
   3.1307100e+01   3.1307100e+01   3.1305800e+01   3.1313600e+01   3.1327200e+01
   3.1307100e+01   3.1305800e+01   3.1313600e+01   3.1327200e+01   3.1352100e+01
